vnd_id,vnd_vdr_id,car_id,mmr,sellingprice,state,diaSemana,data,fuso_horario,zona
37,21,37,18200,13800,pa,Thursday,02-01-2014 09:00:00,GMT-0800,PST
38,22,38,12150,11300,pa,Thursday,02-01-2014 09:00:00,GMT-0800,PST
39,20,39,26800,11700,pa,Thursday,02-01-2014 09:00:00,GMT-0800,PST
40,23,40,14450,14700,la,Tuesday,14-01-2014 11:00:00,GMT-0800,PST
41,24,41,25800,26800,ga,Monday,06-01-2014 09:30:00,GMT-0800,PST
42,3,42,12100,12000,ny,Tuesday,07-01-2014 09:20:00,GMT-0800,PST
43,10,43,12000,13600,tx,Tuesday,07-01-2014 11:00:00,GMT-0800,PST
44,25,44,22200,18500,pa,Thursday,02-01-2014 09:00:00,GMT-0800,PST
45,26,45,13300,14800,sc,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
46,27,46,15850,15200,sc,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
47,2,47,9350,3800,ca,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
48,2,48,6925,7500,tn,Tuesday,07-01-2014 10:30:00,GMT-0800,PST
49,10,49,23800,24800,ga,Sunday,12-01-2014 10:00:00,GMT-0800,PST
50,28,50,1050,2300,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
