year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,diaSemana,data,fuso_horario,zona
2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyagxeh224606,sc,2,25586,silver,black,enterprise vehicle exchange / tra / rental / tulsa,17450,15900,Wednesday,01-01-2014 11:00:00,GMT-0800,PST
2006,Chevrolet,TrailBlazer,LS,SUV,automatic,1gnds13s962204461,sc,15,123843,gray,blue,carolina trust fcu,3850,4300,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2006,Hyundai,Azera,SE,Sedan,automatic,kmhfc46f26a137010,sc,27,130948,white,beige,automobile acceptance corp,4575,4100,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2006,Jaguar,X-Type,3.0L,Sedan,automatic,sajwa51ax6we99931,sc,25,96819,green,beige,palmetto health credit union,3750,3800,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2006,Subaru,Impreza,WRX,Sedan,manual,jf1gd79676g519412,sc,34,136037,black,black,primeritus remarketing/farm bureau,6475,6700,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2006,Volkswagen,Jetta,2.5,Sedan,automatic,3vwrf71kx6m753195,sc,28,132388,blue,beige,myrddin fleet services,3250,3000,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2014,Ford,C-Max Hybrid,SEL,Wagon,automatic,1fadp5bu8el501790,tn,46,29385,black,black,ford motor credit company,17300,18000,Wednesday,08-01-2014 11:00:00,GMT-0800,PST
2014,Ford,Edge,Limited,SUV,automatic,2fmdk3kcxeba46974,sc,49,15501,silver,tan,enterprise veh exchange/rental,23700,23800,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2004,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e34c888244,sc,36,121581,blue,gray,south carolina state credit union,3625,3700,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2003,Honda,Accord,EX,Sedan,automatic,jhmcm56633c021002,sc,23,243643,beige,tan,motors acceptance corporation,2175,3100,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
